ID,Date,Link,Charge,Start count,Quantity,Service,Status,Remains
27457353,2025-10-1009:36:28,https://youtu.be/8iLEfeN8VAA,0.0174,42,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447755,2025-10-0917:20:21,https://youtu.be/o6oWGT3Muwk,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447707,2025-10-0917:16:37,https://youtu.be/VptthtNoCEs,0.0435,0,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447631,2025-10-0917:11:24,https://youtu.be/vmWXGBb8RJE,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447415,2025-10-0917:00:58,https://youtu.be/DGfwWdAoCvM,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447168,2025-10-0916:44:13,https://youtu.be/ipN_H4L8ee8,0.0435,598,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447166,2025-10-0916:44:03,https://youtu.be/M0YGdaU3aUk,0.28275,0,650,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447088,2025-10-0916:36:56,https://youtu.be/ipN_H4L8ee8,0.23925,0,550,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27447013,2025-10-0916:31:30,https://youtu.be/1-qmf8X2itA,0.3045,0,700,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446808,2025-10-0916:18:03,https://youtu.be/5deOi221rNY,0.36975,0,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446749,2025-10-0916:12:32,https://youtu.be/yquuQ_aN4aY,0.10875,605,250,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446738,2025-10-0916:11:29,https://youtu.be/zU_2JOAzVts,0.348,0,800,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27446650,2025-10-0916:05:21,https://youtu.be/yquuQ_aN4aY,0.261,0,600,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431666,2025-10-0816:33:04,https://youtu.be/irH1m3H_SCE,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431619,2025-10-0816:29:38,https://youtu.be/5j_e6ShsrD8,0.0435,0,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431591,2025-10-0816:26:21,https://youtu.be/sJyf2DatAxk,0.15225,0,350,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431318,2025-10-0816:00:22,https://youtu.be/kAMH8guXaew,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431208,2025-10-0815:56:37,https://youtu.be/axt0ovovccQ,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27431003,2025-10-0815:38:24,https://youtu.be/grMZLMDNrvs,0.0174,15,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430981,2025-10-0815:36:33,https://youtu.be/JSLfAb-zPkI,0.2175,0,500,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430949,2025-10-0815:33:25,https://youtu.be/bBmbydBrsJw,0.2175,0,500,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430907,2025-10-0815:29:23,https://youtu.be/VWIaFFoYljE,0.2175,0,500,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27430847,2025-10-0815:22:35,https://youtu.be/2waHq-DizAc,0.36975,0,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
