ID,Date,Link,Charge,Start count,Quantity,Service,Status,Remains
28187310,2025-12-01 08:42:04,Funny Bobo Edutainment Rhymes,0.3663,6.0,666,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
28184088,2025-12-01 00:35:11,Number B,0.1221,903.0,222,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
28184080,2025-12-01 00:34:42,Number A,1.2221,36840.0,2222,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
28183973,2025-12-01 00:17:25,Funny Bobo Edutainment Rhymes,0.0825,717.0,150,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
