run_time,order_id,service,link,quantity,status,charge,remains
2025-11-12 09:59,27969305,8738,https://youtube.com/shorts/0wUdGmX5VSQ,100,Completed,0.063,0
2025-11-12 10:05,27969395,8738,https://youtube.com/shorts/0wUdGmX5VSQ,100,Completed,0.063,0
2025-11-12 10:15,27969463,8738,https://youtube.com/shorts/0wUdGmX5VSQ,100,Completed,0.063,0
2025-11-12 10:23,27969540,15048,abasd,1000,Processing,1.82,1000
12/11/2025 11:05,27969936,8738,https://www.youtube.com/shorts/0wUdGmX5VSQ,100,In progress,0.063,100
